country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1987	13867957	Asia	40.822	852.3959448
Afghanistan	1992	16317921	Asia	41.674	649.3413952
Afghanistan	1997	22227415	Asia	41.763	635.341351
Afghanistan	2002	25268405	Asia	42.129	726.7340548
Afghanistan	2007	31889923	Asia	43.828	974.5803384
Hong Kong, China	1952	2125900	Asia	60.96	3054.421209
Hong Kong, China	1957	2736300	Asia	64.75	3629.076457
Hong Kong, China	1962	3305200	Asia	67.65	4692.648272
Hong Kong, China	1967	3722800	Asia	70	6197.962814
Hong Kong, China	1972	4115700	Asia	72	8315.928145
Hong Kong, China	1977	4583700	Asia	73.6	11186.14125
Hong Kong, China	1982	5264500	Asia	75.45	14560.53051
Hong Kong, China	1987	5584510	Asia	76.2	20038.47269
Hong Kong, China	1992	5829696	Asia	77.601	24757.60301
Hong Kong, China	1997	6495918	Asia	80	28377.63219
Hong Kong, China	2002	6762476	Asia	81.495	30209.01516
Hong Kong, China	2007	6980412	Asia	82.208	39724.97867
Israel	1952	1620914	Asia	65.39	4086.522128
Israel	1957	1944401	Asia	67.84	5385.278451
Israel	1962	2310904	Asia	69.39	7105.630706
Israel	1967	2693585	Asia	70.75	8393.741404
Israel	1972	3095893	Asia	71.63	12786.93223
Israel	1977	3495918	Asia	73.06	13306.61921
Israel	1982	3858421	Asia	74.45	15367.0292
Israel	1987	4203148	Asia	75.6	17122.47986
Israel	1992	4936550	Asia	76.93	18051.52254
Israel	1997	5531387	Asia	78.269	20896.60924
Israel	2002	6029529	Asia	79.696	21905.59514
Israel	2007	6426679	Asia	80.745	25523.2771
Japan	1952	86459025	Asia	63.03	3216.956347
Japan	1957	91563009	Asia	65.5	4317.694365
Japan	1962	95831757	Asia	68.73	6576.649461
Japan	1967	100825279	Asia	71.43	9847.788607
Japan	1972	107188273	Asia	73.42	14778.78636
Japan	1977	113872473	Asia	75.38	16610.37701
Japan	1982	118454974	Asia	77.11	19384.10571
Japan	1987	122091325	Asia	78.67	22375.94189
Japan	1992	124329269	Asia	79.36	26824.89511
Japan	1997	125956499	Asia	80.69	28816.58499
Japan	2002	127065841	Asia	82	28604.5919
Japan	2007	127467972	Asia	82.603	31656.06806
Nepal	1952	9182536	Asia	36.157	545.8657229
Nepal	1957	9682338	Asia	37.686	597.9363558
Nepal	1962	10332057	Asia	39.393	652.3968593
Nepal	1967	11261690	Asia	41.472	676.4422254
Nepal	1972	12412593	Asia	43.971	674.7881296
Nepal	1977	13933198	Asia	46.748	694.1124398
Nepal	1982	15796314	Asia	49.594	718.3730947
Nepal	1987	17917180	Asia	52.537	775.6324501
Nepal	1992	20326209	Asia	55.727	897.7403604
Nepal	1997	23001113	Asia	59.426	1010.892138
Nepal	2002	25873917	Asia	61.34	1057.206311
Nepal	2007	28901790	Asia	63.785	1091.359778
Yemen, Rep.	1952	4963829	Asia	32.548	781.7175761
Yemen, Rep.	1957	5498090	Asia	33.97	804.8304547
Yemen, Rep.	1962	6120081	Asia	35.18	825.6232006
Yemen, Rep.	1967	6740785	Asia	36.984	862.4421463
Yemen, Rep.	1972	7407075	Asia	39.848	1265.047031
Yemen, Rep.	1977	8403990	Asia	44.175	1829.765177
Yemen, Rep.	1982	9657618	Asia	49.113	1977.55701
Yemen, Rep.	1987	11219340	Asia	52.922	1971.741538
Yemen, Rep.	1992	13367997	Asia	55.599	1879.496673
Yemen, Rep.	1997	15826497	Asia	58.02	2117.484526
Yemen, Rep.	2002	18701257	Asia	60.308	2234.820827
Yemen, Rep.	2007	22211743	Asia	62.698	2280.769906
Bolivia	1952	2883315	Americas	40.414	2677.326347
Bolivia	1957	3211738	Americas	41.89	2127.686326
Bolivia	1962	3593918	Americas	43.428	2180.972546
Bolivia	1967	4040665	Americas	45.032	2586.886053
Bolivia	1972	4565872	Americas	46.714	2980.331339
Bolivia	1977	5079716	Americas	50.023	3548.097832
Bolivia	1982	5642224	Americas	53.859	3156.510452
Bolivia	1987	6156369	Americas	57.251	2753.69149
Bolivia	1992	6893451	Americas	59.957	2961.699694
Bolivia	1997	7693188	Americas	62.05	3326.143191
Bolivia	2002	8445134	Americas	63.883	3413.26269
Bolivia	2007	9119152	Americas	65.554	3822.137084
Canada	1952	14785584	Americas	68.75	11367.16112
Canada	1957	17010154	Americas	69.96	12489.95006
Canada	1962	18985849	Americas	71.3	13462.48555
Canada	1967	20819767	Americas	72.13	16076.58803
Canada	1972	22284500	Americas	72.88	18970.57086
Canada	1977	23796400	Americas	74.21	22090.88306
Canada	1982	25201900	Americas	75.76	22898.79214
Canada	1987	26549700	Americas	76.86	26626.51503
Canada	1992	28523502	Americas	77.95	26342.88426
Canada	1997	30305843	Americas	78.61	28954.92589
Canada	2002	31902268	Americas	79.77	33328.96507
Canada	2007	33390141	Americas	80.653	36319.23501
Guatemala	1952	3146381	Americas	42.023	2428.237769
Guatemala	1957	3640876	Americas	44.142	2617.155967
Guatemala	1962	4208858	Americas	46.954	2750.364446
Guatemala	1967	4690773	Americas	50.016	3242.531147
Guatemala	1972	5149581	Americas	53.738	4031.408271
Guatemala	1977	5703430	Americas	56.029	4879.992748
Guatemala	1982	6395630	Americas	58.137	4820.49479
Guatemala	1987	7326406	Americas	60.782	4246.485974
Guatemala	1992	8486949	Americas	63.373	4439.45084
Guatemala	1997	9803875	Americas	66.322	4684.313807
Guatemala	2002	11178650	Americas	68.978	4858.347495
Guatemala	2007	12572928	Americas	70.259	5186.050003
Haiti	1952	3201488	Americas	37.579	1840.366939
Haiti	1957	3507701	Americas	40.696	1726.887882
Haiti	1962	3880130	Americas	43.59	1796.589032
Haiti	1967	4318137	Americas	46.243	1452.057666
Haiti	1972	4698301	Americas	48.042	1654.456946
Haiti	1977	4908554	Americas	49.923	1874.298931
Haiti	1982	5198399	Americas	51.461	2011.159549
Haiti	1987	5756203	Americas	53.636	1823.015995
Haiti	1992	6326682	Americas	55.089	1456.309517
Haiti	1997	6913545	Americas	56.671	1341.726931
Haiti	2002	7607651	Americas	58.137	1270.364932
Haiti	2007	8502814	Americas	60.916	1201.637154
Puerto Rico	1952	2227000	Americas	64.28	3081.959785
Puerto Rico	1957	2260000	Americas	68.54	3907.156189
Puerto Rico	1962	2448046	Americas	69.62	5108.34463
Puerto Rico	1967	2648961	Americas	71.1	6929.277714
Puerto Rico	1972	2847132	Americas	72.16	9123.041742
Puerto Rico	1977	3080828	Americas	73.44	9770.524921
Puerto Rico	1982	3279001	Americas	73.75	10330.98915
Puerto Rico	1987	3444468	Americas	74.63	12281.34191
Puerto Rico	1992	3585176	Americas	73.911	14641.58711
Puerto Rico	1997	3759430	Americas	74.917	16999.4333
Puerto Rico	2002	3859606	Americas	77.778	18855.60618
Puerto Rico	2007	3942491	Americas	78.746	19328.70901
United States	1952	157553000	Americas	68.44	13990.48208
United States	1957	171984000	Americas	69.49	14847.12712
United States	1962	186538000	Americas	70.21	16173.14586
United States	1967	198712000	Americas	70.76	19530.36557
United States	1972	209896000	Americas	71.34	21806.03594
United States	1977	220239000	Americas	73.38	24072.63213
United States	1982	232187835	Americas	74.65	25009.55914
United States	1987	242803533	Americas	75.02	29884.35041
United States	1992	256894189	Americas	76.09	32003.93224
United States	1997	272911760	Americas	76.81	35767.43303
United States	2002	287675526	Americas	77.31	39097.09955
United States	2007	301139947	Americas	78.242	42951.65309
Albania	1952	1282697	Europe	55.23	1601.056136
Albania	1957	1476505	Europe	59.28	1942.284244
Albania	1962	1728137	Europe	64.82	2312.888958
Albania	1967	1984060	Europe	66.22	2760.196931
Albania	1972	2263554	Europe	67.69	3313.422188
Albania	1977	2509048	Europe	68.93	3533.00391
Albania	1982	2780097	Europe	70.42	3630.880722
Albania	1987	3075321	Europe	72	3738.932735
Albania	1992	3326498	Europe	71.581	2497.437901
Albania	1997	3428038	Europe	72.95	3193.054604
Albania	2002	3508512	Europe	75.651	4604.211737
Albania	2007	3600523	Europe	76.423	5937.029526
Bosnia and Herzegovina	1952	2791000	Europe	53.82	973.5331948
Bosnia and Herzegovina	1957	3076000	Europe	58.45	1353.989176
Bosnia and Herzegovina	1962	3349000	Europe	61.93	1709.683679
Bosnia and Herzegovina	1967	3585000	Europe	64.79	2172.352423
Bosnia and Herzegovina	1972	3819000	Europe	67.45	2860.16975
Bosnia and Herzegovina	1977	4086000	Europe	69.86	3528.481305
Bosnia and Herzegovina	1982	4172693	Europe	70.69	4126.613157
Bosnia and Herzegovina	1987	4338977	Europe	71.14	4314.114757
Bosnia and Herzegovina	1992	4256013	Europe	72.178	2546.781445
Bosnia and Herzegovina	1997	3607000	Europe	73.244	4766.355904
Bosnia and Herzegovina	2002	4165416	Europe	74.09	6018.975239
Bosnia and Herzegovina	2007	4552198	Europe	74.852	7446.298803
Iceland	1952	147962	Europe	72.49	7267.688428
Iceland	1957	165110	Europe	73.47	9244.001412
Iceland	1962	182053	Europe	73.68	10350.15906
Iceland	1967	198676	Europe	73.73	13319.89568
Iceland	1972	209275	Europe	74.46	15798.06362
Iceland	1977	221823	Europe	76.11	19654.96247
Iceland	1982	233997	Europe	76.99	23269.6075
Iceland	1987	244676	Europe	77.23	26923.20628
Iceland	1992	259012	Europe	78.77	25144.39201
Iceland	1997	271192	Europe	78.95	28061.09966
Iceland	2002	288030	Europe	80.5	31163.20196
Iceland	2007	301931	Europe	81.757	36180.78919
Netherlands	1952	10381988	Europe	72.13	8941.571858
Netherlands	1957	11026383	Europe	72.99	11276.19344
Netherlands	1962	11805689	Europe	73.23	12790.84956
Netherlands	1967	12596822	Europe	73.82	15363.25136
Netherlands	1972	13329874	Europe	73.75	18794.74567
Netherlands	1977	13852989	Europe	75.24	21209.0592
Netherlands	1982	14310401	Europe	76.05	21399.46046
Netherlands	1987	14665278	Europe	76.83	23651.32361
Netherlands	1992	15174244	Europe	77.42	26790.94961
Netherlands	1997	15604464	Europe	78.03	30246.13063
Netherlands	2002	16122830	Europe	78.53	33724.75778
Netherlands	2007	16570613	Europe	79.762	36797.93332
Norway	1952	3327728	Europe	72.67	10095.42172
Norway	1957	3491938	Europe	73.44	11653.97304
Norway	1962	3638919	Europe	73.47	13450.40151
Norway	1967	3786019	Europe	74.08	16361.87647
Norway	1972	3933004	Europe	74.34	18965.05551
Norway	1977	4043205	Europe	75.37	23311.34939
Norway	1982	4114787	Europe	75.97	26298.63531
Norway	1987	4186147	Europe	75.89	31540.9748
Norway	1992	4286357	Europe	77.32	33965.66115
Norway	1997	4405672	Europe	78.32	41283.16433
Norway	2002	4535591	Europe	79.05	44683.97525
Norway	2007	4627926	Europe	80.196	49357.19017
Turkey	1952	22235677	Europe	43.585	1969.10098
Turkey	1957	25670939	Europe	48.079	2218.754257
Turkey	1962	29788695	Europe	52.098	2322.869908
Turkey	1967	33411317	Europe	54.336	2826.356387
Turkey	1972	37492953	Europe	57.005	3450.69638
Turkey	1977	42404033	Europe	59.507	4269.122326
Turkey	1982	47328791	Europe	61.036	4241.356344
Turkey	1987	52881328	Europe	63.108	5089.043686
Turkey	1992	58179144	Europe	66.146	5678.348271
Turkey	1997	63047647	Europe	68.835	6601.429915
Turkey	2002	67308928	Europe	70.845	6508.085718
Turkey	2007	71158647	Europe	71.777	8458.276384
